Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.994",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1017558.1019390.fwd","PATRIC","CDS",1017558,1019390,1833,"+",,"PLF_561_00001681","PGF_06856090",,610,,"Uncharacterized transporter YfbS",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.995",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1019449.1020048.rev","PATRIC","CDS",1019449,1020048,600,"-",,"PLF_561_00002751","PGF_00425808",,199,,"5'-deoxynucleotidase YfbR (EC 3.1.3.89)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.97",,,"PATRIC.562.163959.562.163959.con.0001.CDS.101966.103909.fwd","PATRIC","CDS",101966,103909,1944,"+",,"PLF_561_00000995","PGF_06275407",,647,,"Cell division-associated, ATP-dependent zinc metalloprotease FtsH",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.996",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1020132.1021349.rev","PATRIC","CDS",1020132,1021349,1218,"-",,"PLF_561_00001950","PGF_06606669",,405,,"Alanine transaminase (EC 2.6.1.2)","GO:0004021|L-alanine:2-oxoglutarate aminotransferase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.997",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1022269.1023207.fwd","PATRIC","CDS",1022269,1023207,939,"+",,"PLF_561_00000488","PGF_00017808",,312,,"LysR family transcriptional regulator LrhA",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.998",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1023411.1023575.rev","PATRIC","CDS",1023411,1023575,165,"-",,"PLF_561_00015812","PGF_01087026",,54,,"hypothetical protein",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.999",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1023838.1024281.fwd","PATRIC","CDS",1023838,1024281,444,"+",,"PLF_561_00002958","PGF_02719231",,147,,"NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)","GO:0008137|NADH dehydrogenase (ubiquinone) activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1000",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1024297.1024959.fwd","PATRIC","CDS",1024297,1024959,663,"+",,"PLF_561_00001865","PGF_04380075",,220,,"NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)","GO:0008137|NADH dehydrogenase (ubiquinone) activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1001",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1025053.1026855.fwd","PATRIC","CDS",1025053,1026855,1803,"+",,"PLF_561_00002772","PGF_06911804",,600,,"NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3) / NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)","GO:0008137|NADH dehydrogenase (ubiquinone) activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1002",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1026858.1027358.fwd","PATRIC","CDS",1026858,1027358,501,"+",,"PLF_561_00002499","PGF_00024692",,166,,"NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)","GO:0008137|NADH dehydrogenase (ubiquinone) activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1003",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1027355.1028692.fwd","PATRIC","CDS",1027355,1028692,1338,"+",,"PLF_561_00000651","PGF_04425336",,445,,"NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)","GO:0008137|NADH dehydrogenase (ubiquinone) activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1004",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1028745.1031471.fwd","PATRIC","CDS",1028745,1031471,2727,"+",,"PLF_561_00001537","PGF_07276470",,908,,"NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)","GO:0008137|NADH dehydrogenase (ubiquinone) activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.6",,,"PATRIC.562.163959.562.163959.con.0001.CDS.10299.10520.rev","PATRIC","CDS",10299,10520,222,"-",,"PLF_561_00003151","PGF_00042427",,73,,"Uncharacterized membrane protein YhdV",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1005",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1031468.1032445.fwd","PATRIC","CDS",1031468,1032445,978,"+",,"PLF_561_00002959","PGF_01514111",,325,,"NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)","GO:0008137|NADH dehydrogenase (ubiquinone) activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1006",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1032460.1033002.fwd","PATRIC","CDS",1032460,1033002,543,"+",,"PLF_561_00002651","PGF_01761390",,180,,"NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)","GO:0008137|NADH dehydrogenase (ubiquinone) activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1007",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1033014.1033568.fwd","PATRIC","CDS",1033014,1033568,555,"+",,"PLF_561_00002581","PGF_10348836",,184,,"NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)","GO:0008137|NADH dehydrogenase (ubiquinone) activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1008",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1033565.1033867.fwd","PATRIC","CDS",1033565,1033867,303,"+",,"PLF_561_00002723","PGF_08749001",,100,,"NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)","GO:0008137|NADH dehydrogenase (ubiquinone) activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1009",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1033864.1035705.fwd","PATRIC","CDS",1033864,1035705,1842,"+",,"PLF_561_00001866","PGF_04757308",,613,,"NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)","GO:0008137|NADH dehydrogenase (ubiquinone) activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1010",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1035869.1037398.fwd","PATRIC","CDS",1035869,1037398,1530,"+",,"PLF_561_00001753","PGF_00024742",,509,,"NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)","GO:0008137|NADH dehydrogenase (ubiquinone) activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1011",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1037405.1038862.fwd","PATRIC","CDS",1037405,1038862,1458,"+",,"PLF_561_00001444","PGF_00024746",,485,,"NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)","GO:0008137|NADH dehydrogenase (ubiquinone) activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1012",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1038946.1039794.rev","PATRIC","CDS",1038946,1039794,849,"-",,"PLF_561_00007067","PGF_00065538",,282,,"Uncharacterized protein YfbP",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1013",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1039853.1040275.rev","PATRIC","CDS",1039853,1040275,423,"-",,"PLF_561_00007030","PGF_00065537",,140,,"Uncharacterized protein YfbO",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.98",,,"PATRIC.562.163959.562.163959.con.0001.CDS.103999.104847.fwd","PATRIC","CDS",103999,104847,849,"+",,"PLF_561_00002285","PGF_01853493",,282,,"Dihydropteroate synthase (EC 2.5.1.15)","GO:0004156|dihydropteroate synthase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1014",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1040484.1041200.fwd","PATRIC","CDS",1040484,1041200,717,"+",,"PLF_561_00007099","PGF_00065536",,238,,"Uncharacterized protein YfbN",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1015",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1041473.1041976.rev","PATRIC","CDS",1041473,1041976,504,"-",,"PLF_561_00002677","PGF_00065530",,167,,"Uncharacterized protein YfbM",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1016",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1042079.1043050.rev","PATRIC","CDS",1042079,1043050,972,"-",,"PLF_561_00098913","PGF_07695206",,323,,"Uncharacterized protein YfbL",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1017",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1043188.1044915.fwd","PATRIC","CDS",1043188,1044915,1728,"+",,"PLF_561_00004507","PGF_08962644",,575,,"Putative von Willebrand factor, vWF type A domain protein STM2315",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1018",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1044986.1046194.rev","PATRIC","CDS",1044986,1046194,1209,"-",,"PLF_561_00003546","PGF_00422988",,402,,"Deubiquitinating protease ElaD",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1019",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1046385.1047320.rev","PATRIC","CDS",1046385,1047320,936,"-",,"PLF_561_00002966","PGF_07097873",,311,,"Ribonuclease Z (EC 3.1.26.11)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1020",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1047367.1047828.fwd","PATRIC","CDS",1047367,1047828,462,"+",,"PLF_561_00002318","PGF_04152933",,153,,"N-acetyltransferase ElaA",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1021",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1047883.1048188.fwd","PATRIC","CDS",1047883,1048188,306,"+",,"PLF_561_00002819","PGF_09690513",,101,,"ElaB protein",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1022",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1048267.1049562.fwd","PATRIC","CDS",1048267,1049562,1296,"+",,"PLF_561_00002491","PGF_01022008",,431,,"Isochorismate synthase (EC 5.4.4.2) @ Menaquinone-specific isochorismate synthase (EC 5.4.4.2)","GO:0008909|isochorismate synthase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.99",,,"PATRIC.562.163959.562.163959.con.0001.CDS.104840.106177.fwd","PATRIC","CDS",104840,106177,1338,"+",,"PLF_561_00001877","PGF_01137124",,445,,"Phosphoglucosamine mutase (EC 5.4.2.10)","GO:0008966|phosphoglucosamine mutase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1023",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1049651.1051321.fwd","PATRIC","CDS",1049651,1051321,1671,"+",,"PLF_561_00001103","PGF_04456509",,556,,"2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)","GO:0070204|2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1024",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1051318.1052076.fwd","PATRIC","CDS",1051318,1052076,759,"+",,"PLF_561_00003009","PGF_01673335",,252,,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)","GO:0070205|2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1025",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1052091.1052948.fwd","PATRIC","CDS",1052091,1052948,858,"+",,"PLF_561_00002960","PGF_04797267",,285,,"Naphthoate synthase (EC 4.1.3.36)","GO:0008935|1,4-dihydroxy-2-naphthoyl-CoA synthase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1026",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1052948.1053910.fwd","PATRIC","CDS",1052948,1053910,963,"+",,"PLF_561_00002420","PGF_03374975",,320,,"O-succinylbenzoate synthase (EC 4.2.1.113)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1027",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1053907.1055262.fwd","PATRIC","CDS",1053907,1055262,1356,"+",,"PLF_561_00001539","PGF_00956915",,451,,"O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)","GO:0008756|o-succinylbenzoate-CoA ligase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1028",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1055372.1055638.fwd","PATRIC","CDS",1055372,1055638,267,"+",,"PLF_561_00002936","PGF_00052433",,88,,"Signal transduction protein PmrD, part of PhoPQ-PmrD-PmrAB multicomponent regulatory system",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1029",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1055632.1056018.rev","PATRIC","CDS",1055632,1056018,387,"-",,"PLF_561_00000944","PGF_00065893",,128,,"Undecaprenyl phosphate-aminoarabinose flippase subunit ArnF",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1030",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1056018.1056353.rev","PATRIC","CDS",1056018,1056353,336,"-",,"PLF_561_00002244","PGF_00065891",,111,,"Undecaprenyl phosphate-aminoarabinose flippase subunit ArnE",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1031",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1056350.1058002.rev","PATRIC","CDS",1056350,1058002,1653,"-",,"PLF_561_00000768","PGF_00065890",,550,,"Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) @ Polymyxin resistance protein PmrK",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1032",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1058002.1058892.rev","PATRIC","CDS",1058002,1058892,891,"-",,"PLF_561_00001700","PGF_00423450",,296,,"4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1033",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1058889.1060871.rev","PATRIC","CDS",1058889,1060871,1983,"-",,"PLF_561_00000363","PGF_00063953",,660,,"UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) / UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating) (EC 1.1.1.305)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1034",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1060871.1061839.rev","PATRIC","CDS",1060871,1061839,969,"-",,"PLF_561_00001797","PGF_00065901",,322,,"Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1035",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1061843.1063000.rev","PATRIC","CDS",1061843,1063000,1158,"-",,"PLF_561_00002147","PGF_00063955",,385,,"UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1036",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1063290.1063892.fwd","PATRIC","CDS",1063290,1063892,603,"+",,"PLF_561_00002924","PGF_00017276",,200,,"Lipopolysaccharide core heptose(II)-phosphate phosphatase @ Polymyxin resistance protein PmrG",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1037",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1063931.1064356.rev","PATRIC","CDS",1063931,1064356,426,"-",,"PLF_561_00002843","PGF_00045916",,141,,"Pyrimidine deoxynucleoside triphosphate (dYTP) pyrophosphohydrolase NudI",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.100",,,"PATRIC.562.163959.562.163959.con.0001.CDS.106405.106737.fwd","PATRIC","CDS",106405,106737,333,"+",,"PLF_561_00001369","PGF_10456344",,110,,"Protein translocase membrane subunit SecG",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1038",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1064635.1065177.fwd","PATRIC","CDS",1064635,1065177,543,"+",,"PLF_561_00001042","PGF_00064844",,180,,"Uncharacterized outer membrane protein YfaZ",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1039",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1065277.1066479.fwd","PATRIC","CDS",1065277,1066479,1203,"+",,"PLF_561_00000739","PGF_07746008",,400,,"ADP-ribose pyrophosphatase of COG1058 family (EC 3.6.1.13) / Nicotinamide-nucleotide amidase paralog YfaY, no functional activity","GO:0047631|ADP-ribose diphosphatase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1040",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1066699.1067481.fwd","PATRIC","CDS",1066699,1067481,783,"+",,"PLF_561_00003909","PGF_00016197",,260,,"L-rhamnonate utilization transcriptional regulator (predicted by genome context)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1041",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1067496.1068701.fwd","PATRIC","CDS",1067496,1068701,1206,"+",,"PLF_561_00003928","PGF_00016195",,401,,"L-rhamnonate dehydratase (EC 4.2.1.90)","GO:0050032|L-rhamnonate dehydratase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.1042",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1068758.1070047.fwd","PATRIC","CDS",1068758,1070047,1290,"+",,"PLF_561_00003597","PGF_00016196",,429,,"L-rhamnonate transporter (predicted by genome context)",
